"param","unit","description"
"status","","General status flag"
"rie_chl","","Relative ionization efficiency for chloride"
"rie_nh4","","Relative ionization efficiency for ammonium"
"rie_no3","","Relative ionization efficiency for nitrate"
"rie_org","","Relative ionization efficiency for organics"
"rie_so4","","Relative ionization efficiency for sulfate"
"f43","","Integrated difference signal at 43 Th as fraction of total organic"
"f44","","Integrated difference signal at 44 Th as fraction of total organic"
"f57","","Integrated difference signal at 57 Th as fraction of total organic"
"f60","","Integrated difference signal at 60 Th as fraction of total organic"
"ce","","Collection efficiency value used in calculating loadings"
"ie_ionspg","ions/pg","Calibration value"
"abref","ions/s","Calibration airbeam reference"
"ab_total","ions/s","Average airbeam during total measurement"
"ab_bg","ions/s","Average airbeam during background measurement"
"flow_p0","","Flowrate calibration offset"
"flow_p1","","Flowrate calibration slope"
"n_total","","# MS in total average"
"n_bkgd","","# MS in background average"
"baseline","","DAQ baseline code"
"threshold","","DAQ threshold code"
"mzcal_p1","","Mass calibration p1"
"mzcal_p2","","Mass calibration p0"
"ratio40div28","","Ratio of integrated signal at 40 Th to 28 Th"
"rbp","V","Reflector backplane voltage"
"rg","V","Reflector grid voltage"
"lens","V","Lens voltage"
"detector","V","Detector voltage"
"hv_spare","V","Spare HV voltage"
"pulser","V","Pulser voltage"
"lens2","V","Lens 2 voltage"
"defl","V","Deflector voltage"
"defl_flange","V","Deflector flange voltage"
"ionex","V","Ion extractor voltage"
"lens1","V","Lens 1 voltage"
"hb","V","Heater bias voltage"
"ionchamber","V","Ion chamber voltage"
"filament_v","V","Filament voltage"
"filament_emm","A","Filament emission current"
"filament_i","A","Filament supply current"
"filament_n","","Filament number in use (1 or 2)"
"interlock","","Interlock active"
"hvp","V","HV positive supply voltage"
"hvn","V","HV negative supply voltage"
"turbo_speed","Hz","Turbo rotation frequency"
"turbo_power","W","Turbo power consumption"
"press_ioniser","mbar","Pressure in ioniser"
"press_inlet","mbar","Pressure in inlet"
"ain_3","V","Analog input channel 3"
"ain_4","V","Analog input channel 4"
"ain_5","V","Analog input channel 5"
"ain_6","V","Analog input channel 6"
"heater_pwm","","Heater PWM setpoint"
"heater_i","A","Heater current"
"heater_v","V","Heater voltage"
"servo2_pwm","","Inlet servo position"
"servo3_pwm","","Filter servo position"
"tps_temp","degC","Temperature in TPS"
"fore_pc","percent","Forepump rotation as percentage of full"
"heater_t","degC","Heater temperature"
"chl","ug/m3","Chloride difference signal"
"nh4","ug/m3","Ammonium difference signal"
"no3","ug/m3","Nitrate difference signal"
"org","ug/m3","Organic difference signal"
"so4","ug/m3","Sulfate difference signal"
"hoa","ug/m3","Poor-person's PMF for HOA"
"ooa","ug/m3","Poor-person's PMF for OOA"
"flow_ccs","cm3/s","Flowrate as calculated from inlet pressure"
"inlet_p","torr","Inlet pressure of ARI Dryer"
"counter_p","torr","Pressure at dry purge flow of ARI Dryer"
"p_drop","torr","Pressure drop of ARI Dryer"
"flow_rate","L/min","SLFC flow rate"
"rh_in","percent","Inlet relative humidity of ARI Dryer"
"t_in","degC","Inlet temperature of ARI Dryer"
"rh_dry","percent","Outlet relative humidty of ARI Dryer"
"t_dry","degC","Outlet temperature of ARI Dryer"
"rh_3","percent","Outlet relative humidity of accessory Dryer (on AE33 line)"
"t_3","degC","Outlet temperature of accessory Dryer (on AE33 line)"
