site_record_id,site_number,name,value,start_date,end_date
,1,upscale_cr,1309,5/1/2023,6/27/2025
,1,upscale_cd,98943,5/1/2023,6/27/2025
,1,upscale_pb,5904,5/1/2023,6/27/2025
,1,upscale_nb,290,5/1/2023,6/27/2025
,1,upscale_cr,1466,6/27/2025,
,1,upscale_cd,119619,6/27/2025,
,1,upscale_pb,6791,6/27/2025,
,1,upscale_nb,207,6/27/2025,
,2,upscale_cr,1852,2/1/2024,
,2,upscale_cd,49320,2/1/2024,
,2,upscale_pb,2558,2/1/2024,
,2,upscale_nb,267,2/1/2024,
,3,upscale_cr,1008,8/1/2023,
,3,upscale_cd,92166,8/1/2023,
,3,upscale_pb,3858,8/1/2023,
,3,upscale_nb,224,8/1/2023,
,4,upscale_cr,1129,8/1/2023,
,4,upscale_cd,119030,8/1/2023,
,4,upscale_pb,5115,8/1/2023,
,4,upscale_nb,316,8/1/2023,
,5,upscale_cr,1585,2/1/2023,
,5,upscale_cd,68492,2/1/2023,
,5,upscale_pb,2615,2/1/2023,
,5,upscale_nb,282,2/1/2023,
,6,upscale_cr,935,3/1/2023,
,6,upscale_cd,145437,3/1/2023,
,6,upscale_pb,4635,3/1/2023,
,6,upscale_nb,314,3/1/2023,
,7,upscale_cr,1778,1/1/2023,
,7,upscale_cd,70742,1/1/2023,
,7,upscale_pb,2161,1/1/2023,
,7,upscale_nb,173,1/1/2023,
,8,upscale_cr,1384,4/1/2023,
,8,upscale_cd,64423,4/1/2023,
,8,upscale_pb,2750,4/1/2023,
,8,upscale_nb,416,4/1/2023,
,9,upscale_cr,1177,10/1/2023,7/3/2024
,9,upscale_cd,51746,10/1/2023,7/3/2024
,9,upscale_pb,2058,10/1/2023,7/3/2024
,9,upscale_nb,406,10/1/2023,7/3/2024
,10,upscale_cr,646,4/1/2023,
,10,upscale_cd,116876,4/1/2023,
,10,upscale_pb,3685,4/1/2023,
,10,upscale_nb,83,4/1/2023,
,11,upscale_cr,1670,1/1/2023,
,11,upscale_cd,66300,1/1/2023,
,11,upscale_pb,2720,1/1/2023,
,11,upscale_nb,344,1/1/2023,
,12,upscale_cr,647,1/1/2023,5/5/2024
,12,upscale_cd,47045,1/1/2023,5/5/2024
,12,upscale_pb,1376,1/1/2023,5/5/2024
,12,upscale_nb,438,1/1/2023,5/5/2024
,12,upscale_cr,1389,5/5/2024,
,12,upscale_cd,90857,5/5/2024,
,12,upscale_pb,2452,5/5/2024,
,12,upscale_nb,365,5/5/2024,
,9,upscale_cr,1091,7/3/2024,
,9,upscale_cd,47812,7/3/2024,
,9,upscale_pb,1918,7/3/2024,
,9,upscale_nb,235,7/3/2024,
